Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what time is the virginia tech basketball game today,210,60,0.00,0.00,97,Informational,"Featured snippet, People also ask, Site links, Video","0.00,1.00,1.00,0.04,0.54,0.04,0.04,0.04,0.04,0.15,0.02"
where is purdue basketball playing today,210,71,0.00,0.00,12700000,Informational,"People also ask, Site links, Video","0.03,0.03,0.03,0.03,1.00,0.02"
who played today in basketball,210,93,0.83,0.00,795000000,Informational,"Instant answer, People also ask, Site links","0.00,0.00,0.88,0.11,0.09,0.00,1.00,0.00,0.17,0.00,0.00,0.00"
who plays ncaa basketball today,210,83,1.09,0.01,132000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.65,0.05"
who won basketball today,210,98,0.00,0.00,219000000,Informational,"Instant answer, People also ask, Reviews, Site links, Twitter","0.29,0.54,0.44,0.07,0.02,0.07,0.05,0.07,0.12,0.07,0.67,0.67"
who won the ncaa basketball games today,210,95,0.00,0.00,111000000,"Informational, Transactional","People also ask, Reviews, Site links, Video","0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.13,0.04"
are there any basketball games today,170,83,1.48,0.01,2780000000,Informational,"Instant answer, People also ask, Site links","0.44,1.00,0.06,0.00,0.00,0.05,0.18,0.23,0.23,0.23,0.66,0.18"
did lsu women's basketball win today,170,50,0.00,0.00,58,Informational,"Image pack, People also ask, Video","0.23,0.17,1.00,0.00"
how to watch razorback basketball game today,170,49,1.59,0.23,72,Informational,"Featured snippet, People also ask, Reviews, Twitter, Video","0.00,0.02,0.00,0.00,0.00,0.02,0.20,0.08,0.05,0.24,1.00,0.02"
how to watch wvu basketball game today,170,61,1.25,0.11,73,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.06,0.00,0.06,0.08,1.00,1.00,0.66,0.43,0.35,0.02"
what channel is iowa basketball on today,170,62,0.00,0.00,76,Informational,"FAQ, Featured snippet, Site links","0.00,0.00,0.00,0.00,0.03,0.11,0.21,0.14,0.39,1.00,0.01"
what channel is kansas basketball on today,170,55,0.00,0.00,54600000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,1.00,0.32"
what channel is syracuse basketball on today,170,68,0.00,0.01,89,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.10,0.16,0.07,0.00"
what channel is the basketball game on today,170,80,1.34,0.01,3650000000,Informational,"People also ask, Site links","0.36,1.00,0.36,0.00,0.00,0.04,0.02,0.04,0.00,0.03,0.23,0.54"
what time college basketball come on today,170,45,0.00,0.00,650000000,Informational,People also ask,"0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00"
what time does auburn basketball play today,170,58,0.00,0.00,77,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.04,0.04,0.15,0.15,0.36,0.66,1.00,0.01"
what time does basketball start today,170,80,0.00,0.00,421000000,Informational,"People also ask, Site links","0.29,0.81,0.44,0.02,0.02,0.04,0.02,0.09,0.04,0.04,0.66,0.54"
what time does ku basketball play today,170,55,0.00,0.00,6690000,Informational,"People also ask, Reviews, Site links, Video","0.05,0.02,0.02,0.02,0.02,0.02,0.16,0.10,0.24,0.16,0.55,0.16"
what time does ku play basketball today,170,59,0.00,0.00,7450000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.03,0.00,0.00,0.03,0.14,0.11,0.21,0.21,1.00,0.14"
what time is basketball on today,170,77,0.00,0.00,751000000,Informational,"People also ask, Site links","0.23,0.23,0.07,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.67,0.44"
what time is the kentucky basketball game today,170,66,0.00,0.00,81,Informational,"People also ask, Reviews, Site links, Video","0.16,0.01,0.02,0.01,0.01,0.03,0.16,0.13,0.30,0.30,0.30,0.01"
what time is the michigan michigan state basketball game today,170,74,0.00,0.00,80,Informational,"People also ask, Reviews, Video","0.00,0.03,0.03,0.72,0.03,0.03,0.03,1.00,0.26,0.03,0.02,0.02"
what time is the razorback basketball game today,170,75,0.00,0.00,84,Informational,"People also ask, Reviews, Site links","0.01,0.03,0.00,0.03,0.03,0.03,0.14,0.14,0.17,0.48,1.00,0.03"
who plays nba basketball today,170,81,0.00,0.00,206000000,Informational,"People also ask, Reviews, Site links, Twitter","0.67,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.54"
who will win college basketball today,170,68,0.00,0.00,92,Informational,"People also ask, Site links, Video","0.00,0.06,0.00,0.00,0.00,0.00,0.43,0.81,0.81,1.00,1.00,0.14"
are there any college basketball games on today,140,92,0.00,0.00,296000000,Informational,"Featured snippet, People also ask, Reviews, Site links","0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.01,1.00,0.10"
did ohio state basketball win today,140,71,0.00,0.00,60,Informational,"People also ask, Site links, Twitter, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.68,0.00"
does michigan basketball team play today,140,65,0.00,0.00,97,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01"
how to watch michigan basketball today,140,57,0.00,0.00,72,Informational,"Featured snippet, People also ask, Twitter","0.00,0.00,0.00,0.00,0.02,0.10,0.08,0.08,0.08,1.00,0.00"
is there a basketball game on today,140,79,1.24,0.01,504000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.35,1.00,0.81,0.01,0.00,0.00,0.00,0.08,0.00,0.06,0.18,0.35"
is there any college basketball games on today,140,92,0.00,0.00,242000000,Informational,"Featured snippet, People also ask, Reviews, Site links","0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.16,0.01"
what basketball game is today,140,81,1.45,0.01,469000000,Informational,"Instant answer, Site links","0.12,0.19,0.19,0.00,0.00,0.12,0.19,0.09,0.15,0.36,1.00,0.36"
what channel is the purdue basketball game on today,140,57,1.32,0.01,95,Informational,"Featured snippet, People also ask, Video","0.00,0.05,0.05,0.05,0.05,0.00,0.54,0.28,0.28,0.28,1.00,0.01"
what channel is the syracuse basketball game on today,140,69,0.00,0.01,83,Informational,"Featured snippet, People also ask, Reviews","0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.08,0.13,0.13,0.08,0.00"
what channel is women's college basketball on today,140,,0.00,0.00,,,,1.00
what radio station is iu basketball on today,140,43,0.69,0.01,72,Informational,"Featured snippet, People also ask","0.01,0.01,0.00,0.01,0.01,0.01,0.19,0.29,0.36,0.23,1.00,0.01"
what time do the basketball game come on today,140,83,0.00,0.00,498000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.28,1.00,0.66,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.06"
what time does arkansas play basketball today,140,62,0.00,0.00,86,Informational,"People also ask, Site links, Twitter, Video","0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.11,1.00,0.01"
what time does iowa play basketball today,140,62,0.00,0.00,26800000,Informational,"People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.02,0.04,0.03,1.00,0.00"
what time does kansas university play basketball today,140,60,0.00,0.00,91,Informational,"People also ask, Reviews, Site links","0.00,0.04,0.00,0.00,0.04,0.19,0.12,0.29,0.23,1.00,0.19"
what time does lsu women's basketball play today,140,47,0.00,0.00,94,Informational,"People also ask, Site links, Video","0.09,0.28,1.00,0.06"
what time does michigan play basketball today,140,71,0.00,0.00,57900000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.04,0.20,0.00"
what time does ohio state basketball play today,140,59,0.00,0.00,80,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.08,0.16,0.46,0.00"
what time does tn play basketball today,140,62,0.00,0.00,56900000,Informational,"People also ask, Site links, Video","0.00,0.03,0.00,0.00,0.00,0.03,0.11,0.11,0.11,0.17,1.00,0.03"
what time is kentucky basketball game today,140,62,0.00,0.00,85,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.05,0.00,0.10,0.53,0.43,1.00,1.00,1.00,0.05"
what time is michigan state basketball game today,140,74,0.00,0.00,79,Informational,"People also ask, Site links, Video","0.00,1.00,0.00,0.04,0.04,0.04,0.04,0.15,0.06,0.44,0.02"
what time is razorback basketball game today,140,69,0.00,0.01,87,Informational,"People also ask, Reviews, Site links","0.02,0.03,0.00,0.00,0.03,0.03,0.09,0.11,0.17,0.32,1.00,0.02"
what time is the auburn basketball game today,140,51,0.00,0.00,71,Informational,"People also ask, Site links, Video","0.00,0.00,0.05,0.05,0.05,0.05,0.11,0.66,1.00,0.81,0.01"
what time is the ku basketball game today,140,49,0.00,0.00,90,Informational,"People also ask, Reviews, Site links, Video","0.20,0.02,0.02,0.02,0.02,0.02,0.10,0.05,0.20,0.13,0.45,0.20"
what time is the uofa basketball game today,140,58,2.52,0.01,70,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.01"
what time the basketball game come on today,140,80,0.00,0.00,540000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.23,1.00,0.54,0.02,0.02,0.02,0.02,0.06,0.05,0.05,0.06,0.19"
where to watch uk basketball game today,140,41,1.02,0.10,78,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.09,0.00,0.09,0.09,0.81,0.65,1.00,0.65,0.65,0.03"
who is playing nba basketball today,140,76,0.00,0.00,206000000,Informational,"People also ask, Reviews, Site links, Twitter","0.65,0.34,0.09,0.00,0.00,0.09,0.09,1.00,1.00,1.00,0.81,1.00"
who playing today basketball,140,83,0.83,0.00,257000000,Informational,"People also ask, Reviews, Site links","0.02,0.03,0.00,0.00,0.00,0.00,0.01,0.01,1.00,0.01,0.03,0.00"
who won basketball games today,140,92,0.00,0.00,160000000,Informational,"Instant answer, People also ask, Site links","0.22,0.54,0.43,0.04,0.00,0.14,0.18,0.18,0.29,0.22,1.00,0.43"
